Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-12-28T16:03:33+0100,Trade,BUY_TO_CLOSE,HIMX  211231P00012000,Equity Option,Bought 1 HIMX 12/31/21 Put 12.00 @ 0.05,-5.00,1,-5.00,0.00,-0.12,100,HIMX,HIMX,12/31/21,12.0,PUT,190931417
2021-12-28T16:03:33+0100,Trade,SELL_TO_OPEN,HIMX  220107P00013500,Equity Option,Sold 1 HIMX 01/07/22 Put 13.50 @ 0.30,30.00,1,30.00,-1.00,-0.132,100,HIMX,HIMX,1/07/22,13.5,PUT,190931417
2021-12-27T21:16:50+0100,Trade,BUY_TO_CLOSE,FUBO  211231C00019000,Equity Option,Bought 1 FUBO 12/31/21 Call 19.00 @ 0.11,-11.00,1,-11.00,0.00,-0.12,100,FUBO,FUBO,12/31/21,19.0,CALL,190833127
2021-12-27T21:16:50+0100,Trade,SELL_TO_OPEN,FUBO  220107C00018500,Equity Option,Sold 1 FUBO 01/07/22 Call 18.50 @ 0.45,45.00,1,45.00,-1.00,-0.132,100,FUBO,FUBO,1/07/22,18.5,CALL,190833127
2021-12-27T20:34:48+0100,Trade,SELL_TO_OPEN,CLF   220107P00020000,Equity Option,Sold 1 CLF 01/07/22 Put 20.00 @ 0.42,42.00,1,42.00,-1.00,-0.132,100,CLF,CLF,1/07/22,20.0,PUT,190836457
2021-12-27T15:52:05+0100,Trade,SELL_TO_OPEN,WKHS  220107C00005500,Equity Option,Sold 1 WKHS 01/07/22 Call 5.50 @ 0.19,19.00,1,19.00,-1.00,-0.132,100,WKHS,WKHS,1/07/22,5.5,CALL,190698068
2021-12-27T15:44:42+0100,Trade,SELL_TO_OPEN,CLF   220107C00021000,Equity Option,Sold 1 CLF 01/07/22 Call 21.00 @ 0.46,46.00,1,46.00,-1.00,-0.132,100,CLF,CLF,1/07/22,21.0,CALL,190690003
2021-12-24T15:40:25+0100,Money Movement,,,,Regulatory fee adjustment,-0.04,0,,--,0.00,,,,,,,
2021-12-23T22:00:00+0100,Receive Deliver,,WKHS  211223C00005500,Equity Option,Removal of 1.0 WKHS 12/23/21 Call 5.50 due to expiration.,0.00,1,0.00,--,0.00,100,WKHS,WKHS,12/23/21,5.5,CALL,
2021-12-23T22:00:00+0100,Receive Deliver,,CLF   211223C00021000,Equity Option,Removal of 1.0 CLF 12/23/21 Call 21.00 due to expiration.,0.00,1,0.00,--,0.00,100,CLF,CLF,12/23/21,21.0,CALL,
